2009,,,
Ramos y Subramos,Indice de Reclamaciones pagadas esperadas (w),Indice de severidad promedio,Monto de reclamaciones pagadas esperadas
Fidelidad,0.54%,0.39%,"$8,416,448.00"
Individuales,0.71%,0.49%,"$6,931,428.00"
Colectivo,0.31%,0.21%,"$1,850,682.00"
Judiciales,0.65%,0.25%,"$4,739,977.00"
Penales,5.35%,2.04%,"$2,313,926.00"
No Penales,0.10%,0.04%,"$652,585.00"
Que amparen a los conductores de behículos automotores,-,-, - 
Administrativas,0.08%,0.05%,"$59,841,202.00"
De Obra,0.04%,0.03%,"$22,199,597.00"
De proveeduria,0.13%,0.04%,"$30,310,776.00"
Fiscales,0.30%,0.18%,"$7,298,553.00"
De arrendamiento,0.39%,0.15%,"$1,612,771.00"
Otras Fianzas Administrativas,0.86%,0.26%,"$16,874,116.00"
Crédito,1.37%,0.64%,"$9,771,919.00"
De suministro,1.40%,0.63%,"$9,635,294.00"
De compraventa,3.72%,1.13%,"$1,014,528.00"
Financieras,-,-, - 
Otras Fianzas de Credito,-,-, - 
