2012,,,
Ramos,Indice,Severidad,Reclamaciones
Fidelidad,0.44%,0.32%,"$12,202,229.00"
Individuales,0.57%,0.46%,"$9,826,702.00"
Colectivo,0.37%,0.18%,"$3,900,481.00"
Judiciales,0.06%,0.04%,"$810,375.00"
Penales,0.33%,0.17%,"$992,193.00"
No Penales,0.05%,0.02%,"$459,908.00"
Que amparen a los conductores de behículos automotores,-,-, - 
Administrativas,0.11%,0.07%,"$121,762,559.00"
De Obra,0.12%,0.08%,"$80,252,391.00"
De proveeduria,0.15%,0.06%,"$51,449,065.00"
Fiscales,0.05%,0.03%,"$1,941,852.00"
De arrendamiento,0.77%,0.24%,"$2,983,190.00"
Otras Fianzas Administrativas,0.03%,0.01%,"$847,044.00"
Crédito,0.39%,0.16%,"$4,928,703.00"
De suministro,0.41%,0.17%,"$4,832,917.00"
De compraventa,-,-, - 
Financieras,-,-, - 
Otras Fianzas de Credito,-,-, - 
